frequency_cycles_per_sample,periodogram_db,capon_db,ar_db
0.06591796875,-26.401746890515465,-13.812066276570587,-20.57230362032331
0.066162109375,-26.380233543814487,-13.80058733111252,-20.58760336942161
0.06640625,-26.228191734836408,-13.789293908873038,-20.6022022470127
0.066650390625,-25.943780062986423,-13.77819876249866,-20.616089457617907
0.06689453125,-25.539375559666286,-13.767314312507814,-20.6292546191171
0.067138671875,-25.039903288606165,-13.756652620966307,-20.641687752883797
0.0673828125,-24.47763079903824,-13.746225365503992,-20.6533792742242
0.067626953125,-23.886226834311323,-13.73604381376808,-20.664319983144072
0.06787109375,-23.296412426956238,-13.726118798409836,-20.674501055465665
0.068115234375,-22.73391723536517,-13.716460692702068,-20.68391403431547
0.068359375,-22.219252409924465,-13.707079386885027,-20.692550822001678
0.068603515625,-21.768478192151854,-13.69798426533773,-20.700403672299355
0.06884765625,-21.394327265995315,-13.68918418467064,-20.707465183159847
0.069091796875,-21.10733757632296,-13.680687452833737,-20.713728289860033
0.0693359375,-20.916867958595475,-13.672501809331619,-20.719186258606367
0.069580078125,-20.83199400517489,-13.664634406633969,-20.723832680607508
0.06982421875,-20.862342822582836,-13.65709179286612,-20.727661466629055
0.070068359375,-21.018959554529076,-13.64987989585978,-20.73066684204335
0.0703125,-21.3153332761008,-13.643004008639059,-20.732843342386825
0.070556640625,-21.76876956240688,-13.63646877641121,-20.734185809437196
0.07080078125,-22.40241526393096,-13.630278185125274,-20.734689387822634
0.071044921875,-23.248481931013142,-13.62443555165511,-20.73434952217501
0.0712890625,-24.35371620547137,-13.6189435156561,-20.733161954839137
0.071533203125,-25.78922168178657,-13.613804033137251,-20.731122724150364
0.07177734375,-27.668770523985042,-13.609018371782359,-20.72822816329272
0.072021484375,-30.180753282471784,-13.604587108045887,-20.724474899750362
0.072265625,-33.5951893341046,-13.600510126040612,-20.719859855365055
0.072509765625,-37.505195977092384,-13.596786618225547,-20.714380247013267
0.07275390625,-37.18884205745573,-13.593415087894119,-20.708033587916326
0.072998046875,-33.352008109471186,-13.590393353453846,-20.70081768959807
0.0732421875,-30.211870890796916,-13.587718554480254,-20.69273066450467
0.073486328125,-27.94894725774101,-13.58538715951936,-20.683770929301875
0.07373046875,-26.29928816898758,-13.583394975604943,-20.673937208865695
0.073974609375,-25.088709017474592,-13.581737159448867,-20.66322854098294
0.07421875,-24.21342415530428,-13.580408230255243,-20.651644281778715
0.074462890625,-23.609865372202812,-13.579402084102147,-20.63918411188873
0.07470703125,-23.237852482747417,-13.578712009827905,-20.625848043394782
0.074951171875,-23.071631113225337,-13.578330706352906,-20.611636427542216
0.0751953125,-23.094938437030173,-13.578250301362363,-20.59654996325934
0.075439453125,-23.29814611198539,-13.578462371270382,-20.58058970649852
0.07568359375,-23.676451779626902,-13.578957962381546,-20.56375708041985
0.075927734375,-24.228441903316636,-13.579727613162369,-20.546053886438436
0.076171875,-24.954308412439325,-13.580761377532022,-20.527482316156718
0.076416015625,-25.85248247428,-13.582048849079449,-20.508044964203588
0.07666015625,-26.912060323744416,-13.583579186112122,-20.487744842002318
0.076904296875,-28.09557893182999,-13.585341137440857,-20.46658539248903
0.0771484375,-29.30395488446731,-13.587323068804537,-20.444570505803807
0.077392578125,-30.327644153057296,-13.589512989838981,-20.42170453597572
0.07763671875,-30.85609594359722,-13.591898581494915,-20.397992318623118
0.077880859375,-30.674809512806384,-13.594467223811487,-20.37343918968926
0.078125,-29.886964928705062,-13.59720602395365,-20.348051005232804
0.078369140625,-28.789631307987847,-13.600101844424227,-20.321834162291104
0.07861328125,-27.62392664611977,-13.603141331364297,-20.29479562083296
0.078857421875,-26.511004341958714,-13.606310942858933,-20.26694292681505
0.0791015625,-25.494644619073124,-13.609596977168849,-20.238284236354325
0.079345703125,-24.58338651017414,-13.612985600812689,-20.208828341025495
0.07958984375,-23.772832086521785,-13.616462876428718,-20.17858469428947
0.079833984375,-23.055348400500428,-13.620014790349392,-20.14756343905459
0.080078125,-22.42382164898156,-13.623627279826687,-20.11577543636815
0.080322265625,-21.87285519738737,-13.627286259851088,-20.083232295230083
0.08056640625,-21.398928545165063,-13.630977649511827,-20.049946403515087
0.080810546875,-21.000180117569528,-13.634687397850957,-20.015930959982455
0.0810546875,-20.676104444188702,-13.638401509168785,-19.981200007345173
0.081298828125,-20.42728864603863,-13.642106067742937,-19.945768466361336
0.08154296875,-20.25523684777102,-13.645787261928364,-19.909652170901147
0.081787109375,-20.162296074388134,-13.649431407610066,-19.872867903932175
0.08203125,-20.15168300243747,-13.653024970985053,-19.835433434353284
